Time,Frequency
20200105-071320,12
20200105-071421,13
20200105-071521,8
20200105-071621,7
20200105-071721,12
20200105-071821,13
20200105-071921,11
20200105-072021,14
20200105-072121,7
20200105-072221,12
20200105-072321,14
20200105-072421,13
20200105-072521,16
20200105-072621,16
20200105-072721,12
20200105-072821,15
20200105-072921,12
20200105-073021,16
20200105-073121,19
20200105-073221,6
20200105-073321,3
20200105-073422,6
20200105-073522,4
20200105-073622,5
20200105-073722,6
20200105-073822,5
20200105-073922,10
20200105-074022,8
20200105-074122,12
20200105-074222,7
20200105-074322,12
20200105-074422,3
20200105-074522,11
20200105-074622,10
20200105-074722,5
20200105-074822,7
20200105-074922,5
20200105-075022,17
20200105-075122,8
20200105-075222,6
20200105-075322,12
20200105-075422,11
20200105-075523,15
20200105-075623,9
20200105-075723,9
20200105-075823,5
20200105-075923,8
20200105-080023,12
20200105-080123,14
20200105-080223,13
20200105-080323,10
20200105-080423,7
20200105-080523,14
20200105-080623,10
20200105-080723,9
20200105-080823,12
20200105-080923,15
20200105-081023,12
20200105-081123,11
20200105-081223,13
20200105-081323,6
20200105-081424,14
20200105-081524,8
20200105-081624,14
20200105-081724,12
20200105-081824,10
20200105-081924,5
20200105-082024,10
20200105-082124,12
20200105-082224,21
20200105-082324,9
20200105-082424,11
20200105-082524,5
20200105-082624,22
20200105-082724,8
20200105-082824,11
20200105-082924,6
20200105-083024,14
20200105-083124,8
20200105-083224,7
20200105-083324,11
20200105-083424,15
20200105-083525,11
20200105-083625,25
20200105-083725,10
20200105-083825,9
20200105-083925,9
20200105-084025,10
20200105-084125,7
20200105-084225,17
20200105-084325,7
20200105-084425,4
20200105-084525,19
20200105-084625,4
20200105-084725,9
20200105-084825,18
20200105-084925,8
20200105-085025,17
20200105-085125,7
20200105-085225,10
20200105-085325,9
20200105-085425,10
20200105-085525,12
20200105-085626,10
20200105-085726,14
20200105-085826,6
20200105-085926,10
20200105-090026,18
20200105-090126,12
20200105-090226,14
20200105-090326,9
20200105-090426,10
20200105-090526,15
20200105-090626,11
20200105-090726,7
20200105-090826,19
20200105-090926,10
20200105-091026,12
20200105-091126,9
20200105-091226,18
20200105-091326,11
20200105-091426,13
20200105-091526,7
20200105-091626,10
20200105-091726,8
20200105-091827,16
20200105-091927,10
20200105-092027,15
20200105-092127,10
20200105-092227,11
20200105-092327,12
20200105-092427,7
20200105-092527,15
20200105-092627,16
20200105-092727,9
20200105-092827,7
20200105-092927,11
20200105-093027,13
20200105-093127,11
20200105-093227,11
20200105-093327,10
20200105-093427,15
20200105-093527,15
20200105-093627,12
20200105-093727,11
20200105-093828,8
20200105-093928,12
20200105-094028,13
20200105-094128,9
20200105-094228,11
20200105-094328,10
20200105-094428,8
20200105-094528,4
20200105-094628,14
20200105-094728,5
20200105-094828,10
20200105-094928,13
20200105-095028,14
20200105-095128,8
20200105-095228,8
20200105-095328,11
20200105-095428,10
20200105-095528,11
20200105-095628,12
20200105-095729,6
20200105-095829,10
20200105-095929,10
20200105-100029,18
20200105-100129,9
20200105-100229,8
20200105-100329,11
20200105-100429,6
20200105-100529,11
20200105-100629,12
20200105-100729,7
20200105-100829,5
20200105-100929,12
20200105-101029,13
20200105-101129,9
20200105-101229,10
20200105-101329,8
20200105-101429,8
20200105-101530,7
20200105-101630,15
20200105-101730,7
20200105-101830,6
20200105-101930,7
20200105-102030,14
20200105-102130,9
20200105-102230,8
20200105-102330,13
20200105-102430,9
20200105-102530,8
20200105-102630,11
20200105-102730,9
20200105-102830,6
20200105-102930,9
20200105-103030,9
20200105-103130,7
20200105-103230,6
20200105-103331,10
20200105-103431,17
20200105-103531,16
20200105-103631,9
20200105-103731,7
20200105-103831,11
20200105-103931,15
20200105-104031,13
20200105-104131,6
20200105-104231,6
20200105-104331,13
20200105-104431,13
20200105-104531,14
20200105-104631,8
20200105-104731,5
20200105-104831,13
20200105-104931,13
20200105-105032,20
20200105-105132,12
20200105-105232,12
20200105-105332,14
20200105-105432,12
20200105-105532,11
20200105-105632,10
20200105-105732,10
20200105-105832,8
20200105-105932,6
20200105-110032,20
20200105-110132,6
20200105-110232,13
20200105-110332,10
20200105-110432,11
20200105-110532,17
20200105-110632,15
20200105-110732,12
20200105-110833,9
20200105-110933,9
20200105-111033,11
20200105-111133,9
20200105-111233,8
20200105-111333,11
20200105-111433,9
20200105-111533,10
20200105-111633,10
20200105-111733,11
20200105-111833,11
20200105-111933,11
20200105-112033,13
20200105-112133,11
20200105-112233,20
20200105-112333,7
20200105-112433,10
20200105-112533,9
20200105-112634,7
20200105-112734,14
20200105-112834,8
20200105-112934,13
20200105-113034,13
20200105-113134,10
20200105-113234,10
20200105-113334,6
20200105-113434,10
20200105-113534,14
20200105-113634,6
20200105-113734,6
20200105-113834,9
20200105-113934,13
20200105-114034,1
20200105-114134,8
20200105-114234,8
20200105-114334,8
20200105-114435,12
20200105-114535,8
20200105-114635,8
20200105-114735,13
20200105-114835,11
20200105-114935,5
20200105-115035,13
20200105-115135,10
20200105-115235,11
20200105-115335,9
20200105-115435,5
20200105-115535,8
20200105-115635,12
20200105-115735,9
20200105-115835,12
20200105-115935,9
20200105-120035,28
20200105-120135,16
20200105-120236,18
20200105-120336,15
20200105-120436,10
20200105-120536,17
20200105-120636,8
20200105-120736,16
20200105-120836,12
20200105-120936,14
20200105-121036,20
20200105-121136,12
20200105-121236,16
20200105-121336,9
20200105-121436,8
20200105-121536,12
20200105-121636,17
20200105-121736,10
20200105-121836,10
20200105-121936,9
20200105-122036,16
20200105-122137,15
20200105-122237,10
20200105-122337,15
20200105-122437,11
20200105-122537,10
20200105-122637,16
20200105-122737,12
20200105-122837,8
20200105-122937,10
20200105-123037,17
20200105-123137,5
20200105-123237,6
20200105-123337,9
20200105-123437,11
20200105-123537,11
20200105-123637,8
20200105-123737,14
20200105-123837,7
20200105-123938,12
20200105-124038,13
20200105-124138,17
20200105-124238,11
20200105-124338,13
20200105-124438,13
20200105-124538,7
20200105-124638,5
20200105-124738,12
20200105-124838,13
20200105-124938,12
20200105-125038,19
20200105-125138,16
20200105-125238,9
20200105-125338,8
20200105-125438,9
20200105-125538,9
20200105-125639,9
20200105-125739,9
20200105-125839,7
20200105-125939,11
20200105-130039,22
20200105-130139,12
20200105-130239,12
20200105-130339,8
20200105-130439,4
20200105-130539,18
